"IID" "fromBP" "toBP"
"I4875" 8520 8396
"I4876" 8530 8380
"I4877" 8557 8453
"I4878" 7885 7721
"I4880" 7892 7734
"I4881_published" 8454 8272
"I4882" 8087 7913
"I4914_published" 8172 8004
"I4915" 8216 8014
"I4916" 8891 8635
"I4917" 8123 7993
"I4918" 7802 7398
"I5069" 7026 6896
"I5070" 7116 6980
"I5076" 5239 5053
"I5077" 7075 6927
"I5078" 6616 6526
"I5079" 5535 5307
"I5232" 7965 7837
"I5233" 8101 7901
"I4884" 3803 3713
"I4885" 4217 4123
"I4886" 4142 4034
"I4887" 4125 4017
"I4888" 4080 3996
"I4889" 4181 4081
"I4891" 4181 4081
"I4892" 3801 3707
"I4893" 6376 6314
"I4894" 6409 6333
"I4895" 4158 4054
"I4896" 4211 4115
"I5204" 7239 6661
"I5205_published" 7008 6892
"I5206_published" 7008 6892
"I5514" 4204 4106
"I5519" 4344 4056
"I5521" 4539 3961
"I5525" 4539 3961
"I5769" 2660 2524
"I5833" 4344 4056
"I5838" 4723 4377
"I2477" 4093 3937
"I2521" 7543 7463
"I2794" 7607 7521
"I2937_all" 7401 7319
"I5207_published" 7008 6892
"I5208" 7239 6661
"I5402" 8246 8066
"I5407" 8144 7856
"I5411" 8802 8398
"I5427" 7922 7844
"I5429" 4893 4839
"I6470" 3665 3553
"I6531" 4181 4045
"I6579" 4222 4088
"I6582" 4238 4104
"I6583" 4199 4077
"I6590" 4344 4056
"I6591" 4344 4056
"I4229" 4206 4110
"I0698_published" 7929 7871
"I4349" 7796 7698
"Canes.SG" 7159 7019
"GB.SG" 5442 5336
"M95.SG" 8965 8663
"M96.SG" 9042 8608
"OC.SG" 8859 8549
"I6561" 4039 3931
"I2683" 4520 4438
"I3122" 4132 4014
"I3123" 4184 4058
"I3124" 3873 3775
"I3125" 3523 3457
"I4062" 6862 6768
"I4065" 6867 6763
"I4241" 7941 7867
"I4243" 4371 4253
"I2786" 4344 4196
"I3708" 7048 5952
"I2495" 4417 4293
"I3709" 5924 5796
"I4582" 8738 8498
"I4063" 6879 6785
"I2937" 7401 7319
"I3920" 5805 5663
"I3997" 3708 3576
"I1846" 4955 4695
"I1978" 4955 4695
"I6677" 5665 5435
"MA973.SG" 4488 4344
"ERS1790730.SG" 3708 3592
"ERS1790731.SG" 3808 3692
"ERS1790732.SG" 3708 3592
"ERS1790733.SG" 3839 3711
"I4560" 3608 3492
"I4561" 3608 3492
"I7550" 6418 5782
"I7606" 5281 4819
"I7604" 5281 4819
"SF12.SG" 8975 8815
"Donkalnis6" 6624 6514
"Gyvakarai1_10bp" 4538 4452
"Kivutkalns19" 2506 2360
"Kivutkalns207" 2674 2526
"Kivutkalns209" 2690 2542
"Kivutkalns215" 2655 2463
"Kivutkalns25" 2718 2556
"Kretuonas4" 6901 5399
"Olsund" 4431 4181
"Plinkaigalis242" 4973 4711
"Spiginas1" 6309 6217
"Spiginas2" 3972 3788
"Spiginas4" 8341 8211
"I10045" 6165 5935
"I10047" 6165 5935
"I10048" 6165 5935
"I10049" 6165 5935
"I10055" 6165 5935
"I10056" 6165 5935
"I10057" 6165 5935
"I10061" 6165 5935
"I10062" 6165 5935
"I10063" 6165 5935
"I10064" 6165 5935
"I10065" 6165 5935
"I10068" 6165 5935
"I10069" 6165 5935
"I10072" 6165 5935
"I10093" 3808 3692
"I10293" 6163 6023
"I10303" 6165 5935
"I11442" 4163 4077
"I11443" 4734 4512
"I7949" 3064 2980
"I8197" 4765 4535
"I8198" 4765 4535
"I8199" 4765 4535
"I8364" 4628 4548
"I8365" 4628 4548
"I8561" 4262 4162
"I10046" 6165 5935
"I10054" 6165 5935
"I10070" 6165 5935
"I10294" 6165 5935
"I10297" 6165 5935
"I3758" 2276 2176
"I8209" 2653 2455
"I8215" 2630 2422
"atp002.SG" 4810 4682
"atp016.SG" 5051 4891
"atp12-1420.SG" 4903 4833
"esp005.SG" 3487 3313
"mur.SG" 7198 7056
"DA35.SG" 3322 3196
"MA2200_final.SG" 4175 3425
"MA2213_final.SG" 4844 4556
"I1583.DG" 8331 8215
"I1583.SG" 8331 8215
"I10769" 3479 3421
"I10770" 3479 3421
"I8134" 6418 5782
"I10373" 3287 3113
"I10372" 3247 3149
"I4064" 6756 6680
"I11249" 5281 4819
"I11248" 5281 4819
"EHU002" 4429 4305
"I12410" 2423 2327
"I12208" 3308 3192
"I12209" 3308 3192
"I11902" 6239 5661
"I11906" 6239 5661
"I11929" 6208 6092
"I11933" 6208 6092
"I3878" 3267 3165
"SZ1.SG" 4485 3215
"scy009.SG" 2659 2477
"scy301.SG" 2293 2181
"scy303.SG" 2285 2177
"N17.SG" 3906 3794
"N18.SG" 5541 5377
"N19.SG" 5564 5416
"N20.SG" 5548 5386
"N22.SG" 6309 6217
"N25.SG" 6423 6077
"N26.SG" 6255 6099
"N27.SG" 6423 6077
"N28.SG" 6148 6000
"N31.SG" 6210 6050
"N36.SG" 6423 6077
"N38.SG" 5041 4877
"N44.SG" 4470 4330
"N45.SG" 4476 4274
"N47.SG" 4476 4274
"N49.SG" 4476 4274
"I14173" 6081 5619
"I14171" 6081 5619
"I14172" 6081 5619
"I14176" 5608 5492
"I14167" 6081 5619
"I14175" 6081 5619
"I14170" 6081 5619
"I14169" 6081 5619
"I14168" 6081 5619
"I14174" 6081 5619
"ELT002_merged" 5825 5681
"ELT006_merged" 5868 5750
"RISE1159.SG" 4785 4663
"RISE1160.SG" 4790 4652
"RISE1161.SG" 4850 4720
"RISE1162.SG" 4834 4696
"RISE1163.SG" 4797 4675
"RISE1164.SG" 4506 4420
"RISE1165.SG" 4821 4687
"RISE1166.SG" 4949 4859
"RISE1167.SG" 4785 4657
"RISE1168.SG" 4759 4585
"RISE1169.SG" 4815 4679
"RISE1170.SG" 4816 4692
"RISE1171.SG" 4877 4775
"RISE1172.SG" 4755 4573
"RISE1173.SG" 4740 4530
"RISE1249.SG" 4808 4666
"LD1174.SG" 4507 4425
"LD270.SG" 4443 4317
"LU339.SG" 4879 4819
"ans008.SG" 5241 5067
"ans014.SG" 5219 5003
"ans017.SG" 5164 4942
"kol6-ALL_DATA.SG" 6818 6732
"ARM002" 5239 5087
"ARM003" 5239 5087
"AY2001" 5441 5353
"AY2003" 5534 5370
"I2056" 6510 6422
"KBD001" 4082 3978
"KBD002" 4076 3994
"KDC001" 3882 3794
"KDC002" 3808 3692
"MK5001" 5265 5035
"MK5004" 5265 5035
"NV3001" 3990 3900
"PG2001" 6896 6804
"PG2004" 6148 6028
"SA6001" 5444 5350
"SA6002" 5228 5024
"SA6004" 5245 5073
"SIJ002" 5239 5089
"SIJ003" 5239 5089
"VJ1001" 6271 6189
"AITI_2" 3803 3703
"AITI_43" 3807 3713
"AITI_72" 3828 3724
"AITI_78" 3804 3692
"OBKR_80" 4054 3946
"POST_44" 4070 3976
"POST_50" 4092 3998
"POST_6" 3909 3837
"UNTA85_1343" 4261 4155
"WEHR_1192SkA" 4235 4151
"R1015.SG" 2829 2771
"R10.SG" 7653 7603
"R1.SG" 2863 2801
"R2.SG" 8003 7959
"R3.SG" 7746 7686
"R435.SG" 2465 2235
"R437.SG" 2308 2192
"R473.SG" 2629 2571
"R474.SG" 2629 2571
"R475.SG" 2629 2571
"R4.SG" 4851 4831
"R5.SG" 4856 4808
"R9.SG" 7519 7443
"I0099_published" 3079 2969
"I0047_published" 3973 3873
"I1579_published" 8129 8015
"I1581_published" 8304 8200
"I1580_published" 8287 8123
"I1585_published" 8071 7971
"I1583_published" 8331 8215
"I0854_published" 8149 8059
"I2739_published" 7232 7084
"I2790_published" 5664 5586
"I2791_published" 5572 5474
"I2793_published" 6317 6229
"I1895_published" 7250 7140
"I1907_published" 6258 6108
"I1878_published" 7726 7648
"I2366_published" 5225 5011
"I2367_published" 5200 4970
"I2384_published" 7188 7040
"I0046_published" 7113 6969
"I1880" 7687 7513
"I3276_published" 5023 4887
"ber1M.SG" 4527 4439
"EKA1.SG" 4263 4127
"oll007.SG" 4713 4521
"poz81.SG" 4776 4628
"TU877_SX11" 6385 6325
"pcw040.SG" 4470 4330
"pcw260.SG" 4311 4163
"pcw361.SG" 4387 4213
"pcw362.SG" 4372 4238
"ALA002" 3419 3357
"ALA004" 3815 3731
"ALA008" 3801 3703
"ALA011" 3659 3581
"ALA013" 3791 3677
"ALA018" 3420 3344
"ALA019" 3546 3482
"ALA020" 3430 3360
"ALA025" 3773 3649
"ALA026" 3669 3585
"ALA028" 3767 3643
"ALA029" 3797 3689
"ALA030" 3504 3430
"ALA034" 3758 3636
"ALA039" 3381 3293
"ART001" 4391 4293
"ART009" 4627 4479
"ART010" 4718 4532
"ART012" 5242 5076
"ART014" 5355 5155
"ART015" 5305 5119
"ART017" 5243 5089
"ART018" 5355 5165
"ART022" 5513 5313
"ART024" 5439 5329
"ART026" 5241 5085
"ART032" 5341 5167
"ART042" 5842 5692
"CBT011" 5515 5445
"CBT014" 5569 5467
"CBT016" 5581 5495
"CBT017" 5515 5445
"ETM010" 4608 4492
"ETM012" 4504 4436
"ETM023" 4289 4261
"I20751" 3344 3056
"I20752" 2345 2057
"SFI-15.SG" 2080 1974
"SFI-20.SG" 2092 1994
"SFI-34.SG" 2446 2324
"SFI-36.SG" 2446 2324
"SFI-44.SG" 2445 2325
"SFI-47.SG" 2446 2324
"SFI-50.SG" 2446 2324
"BDB001" 8860 8340
"FLR003" 6418 6334
"FLR004" 6564 6460
"FLR007" 6365 6287
"GRG003" 6739 6161
"GRG015" 6739 6161
"GRG019" 6739 6161
"GRG021" 6739 6161
"GRG022" 6739 6161
"GRG025" 6739 6161
"GRG027" 6742 6638
"GRG032" 6158 6018
"GRG043" 6739 6161
"LBR001" 6788 6692
"LBR003" 6740 6620
"LBR005" 7124 6978
"OBN008" 6593 6493
"OBN009" 6442 6354
"PEN001_real1" 7403 7319
"PEN001_real2" 7402 7316
"PEN003" 7404 7322
"TGM009" 5301 5115
"MTT001" 7662 7614
"BLS002" 4766 4618
"BNL002" 4050 3940
"BNL003" 4050 3940
"BNL004" 4050 3940
"BNL005" 4140 4028
"BNL008" 3971 3881
"CAH005" 4398 4300
"CAH010" 4344 4206
"CHL001" 3943 3867
"DRO001" 4769 4625
"HOL001" 5658 5568
"HOL002" 5232 5048
"HOP001" 4304 4176
"HOP003" 4365 4135
"HOP004" 4284 4160
"KNE003" 4022 3920
"KO1002" 4612 4454
"KO1003" 4213 4107
"KO1004" 4217 4115
"KO1005" 4382 4280
"KO1006" 3914 3822
"KOB002" 5658 5602
"KON004" 4459 4337
"MIB002" 3805 3725
"MIB007" 3866 3768
"MIB009" 3817 3729
"MIB010" 3889 3803
"MIB018" 3816 3734
"MIB020" 3889 3807
"MIB021" 3884 3794
"MIB022" 3903 3829
"MIB027" 3984 3898
"MIB028" 3900 3810
"MIB031" 3837 3745
"MIB032" 3840 3742
